标题,来源,时间,问题,回答
录取,01***8 (黑龙江),2005-07-26 09:30,请问445分能否被贵校《室内设计技术》录取该专业可以专升本么,很抱歉，在录取结束前，无法预测录取结果。我校会在录取结束后的第一时间把录取结果公布在我办主页：http://61.180.240.51:8088/
咨询,20*** (黑龙江),2005-07-25 16:07,我是黑龙江考生，我考了460分.想上你们的专科，机电一体化这个专业学什么东西.就业方向是什么?,[机电一体化技术专业培养目标、就业方向：培养具有与本专业相适应的文化水平和良好的职业道德，掌握一定的现代机械设计及其控制理论和实践技能，具有较宽系统专业知识，较强的实际工作能力和经营管理能力，以及在机电一体化、机械设计、机械制造和机械电子技术与设备等产业领域内从事研究、设计、制造、管理以及在国民经济各部门中从事机械制造、设计的高级应用技术人才。主干课程：工程力学、机械原理、工程材料及机械制造基础、数学电子技术、机械工程测试与信号分析、金属切削机床、机械制造工艺学、工业控制机原理与应用、数控技术。本专业招收理科考生，学制3年。咨询电话：0451—82192396
414,ge*** (黑龙江),2005-07-25 15:37,你好黑龙江文科考生414分你校专科可否被录取？急谢谢,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
咨询,cu***n (黑龙江),2005-07-25 15:34,请问386去贵校专科有没有希望啊,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
急!!!!!!!!!!!!!!!!!!!!!!11,lz*** (黑龙江),2005-07-25 15:03,本省文科426分报你校三表联合办学能录取吗?,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
急急急~~小鸡尿尿~~~~急~,86*** (黑龙江),2005-07-25 13:11,黑龙江理科考生467能不能入该校专科~机电一体化~专业???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????谢谢我是刘的华,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
专科录取分数咨询~~~,86*** (黑龙江),2005-07-25 13:03,我~黑龙江考生~今年高考成绩467，请问是否能进贵校的专科~~是否什么专业都可以~~~,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
咨询？,ch***228 (黑龙江),2005-07-25 12:53,我是本省考生请问贵校估计今年的3表和专科的底线会是多少,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
你好：急急,11*** (黑龙江),2005-07-25 12:30,你们的新争志愿是怎么回事啊是怎么录的,我校在黑龙江省本科二批招生一志愿已完成招生计划。
三表问题,su*** (黑龙江),2005-07-25 12:26,我是黑龙江理科考生今年考了507分问是否有望被贵校三表录取三表学生课程是否与二表相同?毕业证有无区别贵校三表哪个专业分数最高?,如果一志愿报考我校有可能被我校录取。大学实行小班授课，因专业设置不同而课程设置不同。
查询,10***8 (黑龙江),2005-07-25 12:06,我是黑龙江考生我的成绩是567分我报的东北林大2表2志愿我能被录取吗请老师急！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,我校二批一志愿已完成招生计划。
山东文史类考生,so*** (山东),2005-07-25 11:17,请问贵校在山东专科一批线上下多少分能录取？,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
##@,an*** (辽宁),2006-05-14 12:33,贵校2006年在连宁招生多少名艺术考生？美术类,我校2006年在辽宁省招收艺术理科2人，艺术文科3人。
分数,ch*** (天津),2006-05-14 12:28,今年贵校升为一本，去年在津录取最低分数为408，请问今年录取分数是否大幅增长，招收理科生人次?谢谢!,今年我校在天津录取分数是否大幅增长不能确定，我校今年在天津理科计划招生42人。
请问贵校有二表联办么?,ca*** (黑龙江),2006-05-14 12:24,我是文科生，请问二表联办都有什么专业?二表联办生怎样学习?收费怎样?谢谢!,请查阅2006年黑龙江省全国普通高等学校招生计划。根据黑龙江省物价局批准通过，我校三表学费为每年16000元人民币。
今年三表都有什么专业?我在哪能查看到?,ai*** (黑龙江),2006-05-14 12:19,今年三表都有什么专业?我在哪能查看到?,请查阅2006年黑龙江省全国普通高等学校招生计划。
天津录取,st*** (天津),2006-05-14 09:50,我发现天津录取为二本.为什么在别的省市为一本?专业方向不同吗?天津有一本吗?,我校是教育部直属、“211工程”学校，今年在天津为本科一批录取。
三表怎样收费？,ai*** (黑龙江),2006-05-13 14:40,三表怎样收费？,根据黑龙江省物价局批准通过，我校三表学费为每年16000元人民币。
您好！贵校有三表吗？怎样收费？毕业证书与一、二表的有区别吗？三表土木工程专业今年招收的人数是多少？,ai*** (黑龙江),2006-05-13 14:37,您好！贵校有三表吗？怎样收费？毕业证书与一、二表的有区别吗？三表土木工程专业今年招收的人数是多少？,我校2006年在黑龙江省有三表招生，学费为每年16000元人民币，毕业证书上并没有一表与二表的区别，我校去年9月已正式列入“211”重点高校建设行列，今年除黑龙江省还有一表、二表、三表之分外，其余30个省、市、自治区已全部为一表招生。土木工程专业在黑龙江省为一表招生专业。
艺术,li*** (黑龙江),2006-05-13 14:36,我是一名艺术考生.我的父亲是一名3级残疾警察，请问贵校有录取优惠政策吗?术科要多少分能报贵校?,[我校在黑龙江省术科考试以黑龙江省组织的艺术联考成绩为准，术科成绩达到省本科控制线，按文化课从高分到低分择优录取。除获得优秀学生称号、省级以上青少年科技创新大赛或全国只能给学生学科奥林匹克竞赛省赛区一等奖以上者按加分后分数计分外，其余均以实际考分为准。很抱歉，你的情况不能加分。希望你在复习时保持好的心态，安心学习，欢迎报考我校。
艺术,li*** (黑龙江),2006-05-13 14:36,我是一名艺术考生.我的父亲是一名3级残疾警察，请问贵校有录取优惠政策吗?术科要多少分能报贵校?,[我校在黑龙江省术科考试以黑龙江省组织的艺术联考成绩为准，术科成绩达到省本科控制线，按文化课从高分到低分择优录取。除获得优秀学生称号、省级以上青少年科技创新大赛或全国只能给学生学科奥林匹克竞赛省赛区一等奖以上者按加分后分数计分外，其余均以实际考分为准。很抱歉，你的情况不能加分。希望你在复习时保持好的心态，安心学习，欢迎报考我校。
我是一名文科复读生，我的模考成绩在540--560分之间，请问我的第一志愿敢报贵校吗?,gk*** (山西),2006-05-12 14:06,我是一名文科复读生，我的模考成绩在540--560分之间，请问我的第一志愿敢报贵校吗?,很抱歉，在录取结束前，无法预测录取结果。我校2005年在山西省文史类录取分数线为535分，仅供参考，欢迎报考东北林业大学！
你好,ya***ang (河南),2005-07-29 12:00,我今年考了556分，请问有希望到林大上学吗?,我校会在录取结束后的第一时间把录取结果公布在我办主页：http://61.180.240.51:8088/
???,pa*** (黑龙江),2005-07-27 13:40,二表联合办学是否已录取完，472+10（文），录取几率有多大,我校没有二表联合办学
三表,mi***5 (黑龙江),2005-07-26 16:03,431分上贵校三表有希望吗谢谢,很抱歉，在录取结束前，无法预测录取结果。
专科分,wp*** (黑龙江),2005-07-26 14:29,04年专科分是多少，我今年理科352分，能报吗?,请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
咨询三表,wg*** (黑龙江),2005-07-26 11:47,请问三表的毕业证与二表是否有一些区别,我校没有分校和二级学院。
您好,ke*** (黑龙江),2006-05-16 15:58,请问贵校怎么才能知道哪个专业二表、二表B或三表有招生计划。谢谢。,请查看2006年黑龙江省全国普通高等学校招生计划，欢迎报考东北林业大学！
请问？,20***ove (黑龙江),2006-05-16 11:09,招生办公室的电话怎么没人接？,我校咨询电话为0451-82190346，在正常工作日由专人接听，请核对你所拨叫的号码。
关于艺术考生,li*** (黑龙江),2006-05-15 16:14,请问今年在黑龙江省艺术设计招生计划为几名？去年分数线为多少？,[我校今年在黑龙江省文史类艺术设计（环境艺术）计划招收3人，艺术设计（市内与家具设计）计划招收8人，理工类艺术设计（环境艺术）计划招收1人，艺术设计（市内与家具设计）计划招收3人。我校2005年文史类艺术设计最低录取分数为409，理工类艺术设计最低录取分数为439，欢迎报考东北林业大学！
请问贵校的优势专业是什么？,hn*** (河南),2006-05-15 16:13,请问贵校的优势专业是什么？,[我校是一所以林科为优势，以林业工程为特色，农、理、工、经、管、文、法相结合的多科性大学。现设有16个学院和2个部，有5个博士后科研流动站、4个一级学科博士点、32个二级学科博士点、10个一级学科硕士点、75个二级学科硕点、3个种类8个领域的专业学位硕士点和57个本科专业。学校拥有6个国家重点学科和19个省、部重点学科，有教育部和国家计委批准的国家生命科学与技术人才培养基地、教育部批准的理科基础科学研究与教学人才培养基地（生物学）。国家级重点学科野生动植物保护与利用学科植物学学科木材科学与技术学科生态学学科森林保护学学科森林工程学科省部级重点学科森林培育、林木遗传育种、林业经济管理、机械设计及理论、森林经理学、林产化学加工工程、控制理论与控制工程、道路与铁路工程、载运工具与运用工程、园林植物与观赏园艺、环境与资源保护法学、会计学、动物学、企业管理2006年东北林业大学本科硕士博士专业一览表学院本科专业学位硕士点博士点野生动物资源学院野生动物与自然保护区管理农学野生动植物保护与利用、动物学、自然保护区学、特种经济动物饲养、生理学、水生生物学、旅游管理、管理科学与工程、动物遗传育种与繁殖野生动植物保护与利用、自然保护区学野生动物与自然保护区管理（动物科学）农学动物医学农学旅游管理（生态旅游）管理学机电工程学院机械设计制造及其自动化工学机械设计及理论、机械电子工程、控制理论与控制工程、农业电气化与自动化、检测技术与自动化装置、农业机械化工程、计算机应用技术机械设计及理论机械设计制造及其自动化（机械电子工程）工学通信工程(通信安全)工学通信工程工学电气工程及其自动化工学自动化工学工业设计工学林学院林学农学森林培育、森林经理学、森林保护学、水土保持与荒漠化防治、林木遗传育种、森林植物资源学、生态学、植物学、土壤学、环境科学、园林植物与观赏园艺、森林生物工程、遗传学、微生物学、植物营养学、食品科学、计算机应用技术森林培育、森林经理学、森林保护学、水土保持与荒漠化防治、林木遗传育种、森林植物资源学、生态学、植物学、园林植物与观赏园艺、森林生物工程、遗传学地理信息系统理学食品科学与工程工学环境科学理学森林资源保护与游憩农学材料科学与工程学院木材科学与工程工学木材科学与技术、生物材料工程、林产化学加工工程、高分子化学与物理、应用化学、制浆造纸工程、设计艺术学林产化学加工工程、木材科学与技术、生物材料工程木材科学与工程（家具设计制造与室内设计）工学高分子材料与工程工学林产化工工学轻化工程工学艺术设计（室内与家具设计）文学土木工程学院土木工程工学林区交通工程、桥梁与隧道工程、道路与铁道工程、结构工程、管理科学与工程、设计艺术学、城市规划与设计林区交通工程城市规划工学工程管理管理学建筑环境与设备工程工学工程技术学院森林工程工学森林工程、机械设计及理论、林区交通工程、管理科学与工程森林工程、机械设计及理论、林区交通工程物流工程工学工业工程工学包装工程工学工程管理（国际工程管理）管理学理学院数学与应用数学理学应用数学、统计学、生态学、生物物理学、检测技术与自动化装置、机械电子工程、高分子化学与物理、应用化学、生物材料工程、林产化学加工工程、药物化学、生药学、计算机应用技术、森林经理学生态学、森林经理学、生物材料工程、林产化学加工工程物理理学化学理学化学工程与工艺工学应用化学理学信息与计算机工程学院计算机科学与技术工学计算机应用技术、控制理论与控制工程、机械设计及理论、农业电气化与自动化、机械电子工程、森林经理学、检测技术与自动化装置机械设计及理论、森林经理学电子信息工程工学信息管理与信息系统管理学计算机科学与技术(信息安全专业)工学人文社会科学学院法学法学马克思主义基本原理、思想政治教育、行政管理、企业管理、环境与资源保护法学、马克思主义中国化研究、管理科学与工程、设计艺术学思想政治教育政治学与行政学法学社会工作法学广告学文学外国语学院英语文学英语语言文学、外国语言学及应用语言学　日语文学俄语文学生命科学学院生物科学理学森林生物工程、发育生物学、细胞生物学、微生物学、遗传学、生物化学与分子生物学、生物物理学、植物学、野生动植物保护与利用、生态学、森林保护学、森林培育、林木遗传育种、动物学、生理学、水生生物学、特种经济动物饲养、生药学森林生物工程、发育生物学、遗传学、生物化学与分子生物学、植物学、野生动植物保护与利用、生态学、森林保护学、森林培育、林木遗传育种生物技术理学生命科学理学园林学院园林农学园林植物与观赏园艺、植物学、城市规划与设计、设计艺术学园林植物与观赏园艺、植物学园林（风景园林）工学艺术设计（环境艺术）文学经济管理学院统计学经济学企业管理、林业经济管理、统计学、管理科学与工程、行政管理、农业经济管理、国际贸易学、会计学、人口资源与环境经济学林业经济管理、农业经济管理国际经济与贸易经济学会计学管理学工商管理管理学市场营销管理学公共事业管理管理学农林经济管理管理学交通运输工程学院交通运输类工学载运工具运用工程、交通信息工程及控制、道路与铁道工程、林区交通工程、控制理论与控制工程、机械设计及理论载运工具运用工程、林区交通工程、机械设计及理论森林植物生态学教育部重点实验室植物学、生药学、生物化学与分子生物学、药物化学植物学、生物化学与分子生物学
专业,si***ia (黑龙江),2006-05-15 16:10,您好!我是一名男生，很想到贵校就读，我的各科成绩中相比校生物成绩很好，请问就读二表或三表的哪些专业为宜(对化学不感兴趣)谢谢!,我校生物科学类专业有生物科学、生物技术，但以上两专业均为本科一批录取，请登陆我办招生信息网http://zfc.nefu.edu.cn查看我校2006年度专业介绍，选择你所感兴趣的专业。欢迎报考东北林业大学！
招生分数,li*** (黑龙江),2006-05-15 14:29,贵校去年三表招生专业和分数是多少？,去年我校在黑龙江省三表文史类最低录取分数为430分，理工类最低录取分数为461分。
老师您好,zy*** (河南),2006-05-15 13:12,请问老师:贵校是否有音乐专业?如何招生?,不好意思，我校目前没有音乐类专业。
语种问题、艺术特长生,ji*** (黑龙江),2006-05-15 13:12,1、请说明各专业的语种限制。有限招俄语的专业吗？包括国际合作办学。2、对教育部公示的艺术特长生有什么政策吗？,我校国际经济与贸易专业、工程管理（国际工程管理）、计算机科学与技术、计算机科学与技术（信息安全）、英语专业限招英语考生，其他专业不限语种。
招生计划及分数线,zh*** (河南),2006-05-15 09:20,河南今年环境艺术设计招生计划为几名？去年分数线为多少？,我校今年在河南省计划招收：理工类艺术设计（环境艺术）3人，文史类艺术设计（环境艺术）6人。2005年我校理工类艺术设计（环境艺术）最低录取分数为312分，文史类艺术设计（环境艺术）477分。
咨询,si***ia (黑龙江),2006-05-14 16:14,您好!请问2006年黑龙江省全国普通高等学校招生计划我怎么查不到，告诉我网址好吗?谢谢.,我校招生计划已在教育部网站上公布，登录阳光高考信息平台：http://gaokao.chsi.cn查看招生计划即可看到我校2006年分省份专业招生计划。
二表联办,lc*** (广西),2006-05-14 15:43,我的儿子是黑龙江的文科生，二摸的成绩是469，我担心他报贵校二表成绩不宽余，想报二表联办，二表联办的收费和三表的收费都是16000吗?,我校2006年在黑龙江省招生一表、二表A、二表B、三表、专科以及艺术类，其中二表B和三表的学费为16000（元/年）人民币，具体招生计划正接收黑龙江省招办审批，还未最终确定。
二表联合办学,lc*** (广西),2006-05-14 14:25,我的儿子是文科生，想到贵校二表联合办学就读，请问二表联合办有什么专业，与一表和二表的学生一起上课吗?学费是多少?另外二表联合办学是否有本硕连读专业，谢谢.,今年我校在黑龙江省二表招生人数请查阅2006年黑龙江省全国普通高等学校招生计划。学费是每年16000元人民币，二表联合办学专业没有本硕连读专业。
招生人数,wg*** (浙江),2006-05-14 14:02,请问林大二表理科计划招生人数,我校在浙江省招生批次为一批，二批没有招生计划。
回答,an*** (辽宁),2006-05-14 12:46,你们学校2006年预备在辽宁省招收多少名艺术类（美术）考生？,我校2006年在辽宁省招收艺术理科2人，艺术文科3人。
三表都有啥专业？分数段如何定？,le*** (黑龙江),2006-05-14 12:36,三表问题。,今年我校在黑龙江省三表计划招生人数请查阅2006年黑龙江省全国普通高等学校招生计划。
老师您好~~,re*** (北京),2006-06-11 10:44,我是河南考生，估分在570到580之间，报考贵校，有多大可能被录取？,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
?????,fe***4421 (河南),2006-06-11 10:42,我今年估了580，有没有可能上贵校,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
怎么招生啊?,48*** (河南),2006-06-11 10:40,请问贵校招生时能加20分投挡吗?贵校是否承认这20分?,河南省关于报考农林院校家二十分提档的政策，对于享受上述加分政策的考生，按各省招办规定加分提档，有我校审查决定是否录取。
急[理],fe***4421 (河南),2006-06-11 10:34,我今年估了580，有没有可能上贵校,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
请问,ev*** (黑龙江),2006-06-11 10:02,老师，你好！我想问一下贵校在本省录取分数会是多少，请帮我估一下吗？我今年估了585，请问能走这所学校吗,很抱歉，在录取结束前，无法预测录取结果。去年我校在黑龙江省一表立功最低分582，文史类最低分558分，仅供参考。
英语系二表多少分,88*** (黑龙江),2006-06-11 09:48,请问我今年高考打500分有可能靠上贵校英语系吗,2006年我校在黑龙江省英语为一表专业，具体天报内容以黑龙江省颁布的2006年报考指南为准。
陕西考生咨询,vi*** (陕西),2006-06-11 09:39,你好，我是一名陕西考生，今年我省欲估分数线为560，请问我的570估分成绩报考该校物流专业是否有风险。另外，陕西考生报考农林学校是否有加分政策？,我校今年在陕西省由二表提升为一表招生，往年我校在陕西省的招生录取分数不再具有参考价值，在录取工作中我们不会对考分做出任何预测，如果陕西省出台有相关加分政策，按照各省招办规定加分提档，有我校审查决定是否录取。
我向往林大,88*** (黑龙江),2006-06-11 09:35,请问我今年高考打500.5，有机会上贵校吗谢谢,欢迎你报考东北林业大学，你的分数为500分，很抱歉能否被我校录取我们无法作出预测。
艺术 急!!,zz*** (安徽),2006-06-10 16:23,我是黑龙江的一名艺考生，文化课估分415省统考分138请问，被贵校录取的希望有多少???,我校在黑龙江省录取艺术类通过省规定的术科、文化课分控线后，从高分到低分择优录取。你的分数能否被我校录取我们无法作出预测。
艺术   急!!!!!!!!!,zz*** (安徽),2006-06-10 16:20,我是黑龙江的一名艺考生，文化课估分415省统考分138请问，有希望被贵校录取吗????,[我校2006年在黑龙江省艺术类录取原则是：以黑龙江省组织的艺术类联考成绩为准，通过省联考以及文化课两个分控线后，我校按文化课成绩从高分到低分，择优录取。去年环境艺术（文史）最低分409/131.33；环境艺术（理工）最低分455/140.33；家具设计（文史）最低分409/130.33；家具设计（理工）最低分439/134.34。仅供参考。能否被我校录取我们无法作出预测！
05年专科最低录取分数,li*** (黑龙江),2006-06-10 14:58,请问黑龙江05年文理专科录取分数是多少？,2005年我校专科文史类分数488，理工类501。欢迎报考东北林业大学！
急!!!,fz*** (黑龙江),2006-06-10 13:26,省艺术联考124，文化棵480，文史类，报考贵校把握多大???贵校艺术专业今年有新加的专业吗???,[我校2006年在黑龙江省艺术类录取原则是：以黑龙江省组织的艺术类联考成绩为准，通过省联考以及文化课两个分控线后，我校按文化课成绩从高分到低分，择优录取。去年环境艺术（文史）最低分409/131.33；环境艺术（理工）最低分455/140.33；家具设计（文史）最低分409/130.33；家具设计（理工）最低分439/134.34。仅供参考。我校今年艺术类没有新增专业。
咨询,wq***123 (北京),2006-06-10 12:24,我是黑龙江的考生估计460-470之间不知可不可以报贵校的三表谢谢有没有希望去年的三表录取分数是多少啊非常感谢,请参考我校2005年三表理工类录取最低分数线为463分，三表文史类录取最低分数线为431分，2006年460-470分能否考入我校无法预测。
咨询?,ml*** (河南),2006-06-10 11:55,我是河南考生，估570分，能否被贵校录取?怎么选专业?,[去年我校在河南省录取专业最低分是文史567，理工568，省控线为文史565，理工568，能否被我校录取我们无法作出预测，但河南省对报考农林院校的考生有加20分提档的照顾政策，这对你是有利的。对于专业的选择，建议首先应该从兴趣出发，参考班主任老师的意见，不要过分重视冷热门之分和媒体对某些专业的炒作，有机会详细察看专业课程设置、按排、培养方向等。
请问,ti*** (河南),2006-06-10 11:53,我是一名河南考生，我们省的政策是一志愿报考农林类院校的加20分投档，请问贵校是否认同所加的20分？,根据河南省招办规定，报考农林院校考生加20分投档，我们认可这个政策，但加分只用作投档，在进行分专业排序时以考生的实际分数为准。
咨询,hm*** (黑龙江),2006-06-10 11:27,贵校哪个2表专业就业好?,"我校今年的二表分为二表A,二表B，二表A专业中森林工程、野生动物与自然保护区管理、农林经济管理、森林资源保护与游憩4个专业为我校特色专业，去年我校所有专业就业率都达到了90%以上。"
咨询,hm*** (黑龙江),2006-06-10 11:14,贵校的1，2表的好专业有哪些?,[东北林业大学特色专业一览表序号专业学院1林学林学院2野生动物与自然保护区管理野生动物资源学院3木材科学与工程材料科学与工程学院4园林园林学院5森林工程工程技术学院6农林经济管理经济管理学院7生物科学（国家理科基础科学研究和教学人才培养基地）生命科学学院8生物技术（国家生命科学与技术人才培养基地）生命科学学院9森林资源保护与游憩林学院10林产化工材料科学与工程学院东北林业大学优势专业一览表序号专业学院1林学林学院2野生动物与自然保护区管理野生动物资源学院3木材科学与工程材料科学与工程学院4园林园林学院5森林工程工程技术学院6土木工程土木工程学院7农林经济管理经济管理学院8交通运输交通运输工程学院9自动化机电工程学院10化学工程与工艺理学院11计算机科学与技术信息与计算机工程学院12机械设计制造及其自动化机电工程学院13生物科学（国家理科基础科学研究和教学人才培养基地）生命科学学院14生物技术（国家生命科学与技术人才培养基地）生命科学学院15会计学经济管理学院16森林资源保护与游憩林学院17林产化工材料科学与工程学院18数学与应用数学理学院19英语外国语学院20法学人文社会科学学院
咨询,hm*** (黑龙江),2006-06-10 11:12,今年的录取分数线应参考哪年的?04还是05的?,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
河南考生艺术类是否要单考？,37*** (河南),2006-06-10 11:05,贵校是否用艺术统考成绩，我是河南考生，录取方法是怎么样的，按综合成绩还是按百分比的多少录取？,[报考我校艺术类专业的考生，须根据所在省的相关规定参加该省统一联考，合格者方能最终报考我校。通过我校单独组织的专业（术科）测试的艺术类考生，应参加全国普通高等院校文化课统考，文史类和理工类考生数学成绩均计入总分。录取办法为：非黑龙江省考生专业（术科）测试合格者，按文化课成绩高低排名依次择优录取；黑龙江省考生术科达到省里本科控制线，按文化课从高分到低分择优录取。
咨询,hm*** (黑龙江),2006-06-10 11:02,今年你们校一表能多少分?2表那?,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
咨询,ta***ang (重庆),2006-06-10 10:52,我是重庆的一名理科考生，如果刚好上一类线，问是否有可能被录取？,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
分数线,38*** (黑龙江),2006-06-10 10:21,您好!请问贵校2005年重本分数是多少?,很抱歉，在录取结束前，无法预测录取结果。请登陆http://61.180.240.51:8088/showlnzlall.asp选择你生源所在省份查看我校历年录取分数线。仅供参考。
专业分数,fe***62 (山西),2006-06-10 09:33,我是一名山西的文科考生想知道贵校文科专业去年的分数我数学不好但英语不错应报那些专业,[å¾æ±æ­ï¼å¨å½åç»æåï¼ææ³é¢æµå½åç»æãè¯·ç»éhttp://61.180.240.51:8088/showlnzlall.aspéæ©ä½çæºæå¨çä»½æ¥çææ¡åå¹´å½ååæ°çº¿ãä»ä¾åèã
咨询,ts*** (黑龙江),2006-06-10 09:24,我估分在350左右！请问能否考入贵校2表B或3表,请参考我校2005年三表理工类录取最低分数线为463分，三表文史类录取最低分数线为431分，2006年350分能否考入我校无法预测。
艺术,yu***766 (黑龙江),2006-06-10 09:22,我是黑龙江的艺术考生.省连考的成绩为123.45分，贵校艺术设计是否有联合办学,我校艺术设计专业没有联合办学。
